file,defect_code,zone_raw,color_raw,color_code,matched_defect_only,matched_defect_zone,matched_defect_zone_color
fender_gray_000912,SCR,fender,gray,YW6,42432,6940,551.0
fender_gray_000912,PDR,fender,gray,YW6,17111,2884,225.0
fender_gray_000912,SCR,fender,gray,YW6,42432,6940,551.0
fender_green_000836,PDR,fender,green,,17111,2884,
fender_green_000958,SCR,fender,green,,42432,6940,
fender_green_000958,DNT,fender,green,,25583,4288,
fender_green_000958,GAP,fender,green,,13605,2295,
fender_navy_000903,DNT,fender,navy,,25583,4288,
fender_pearl_white_000801,PBB,fender,white,P2W,20738,3450,646.0
fender_pearl_white_000935,SCR,fender,white,P2W,42432,6940,1260.0
fender_pearl_white_000971,DNT,fender,white,P2W,25583,4288,787.0
fender_pearl_white_000971,DNT,fender,white,P2W,25583,4288,787.0
fender_red_000919,PBB,fender,red,R4M,20738,3450,169.0
fender_red_000919,DNT,fender,red,R4M,25583,4288,218.0
fender_red_000955,GAP,fender,red,R4M,13605,2295,114.0
fender_white_000846,PBB,fender,white,P2W,20738,3450,646.0
fender_white_000967,DNT,fender,white,P2W,25583,4288,787.0
fender_white_000967,DNT,fender,white,P2W,25583,4288,787.0
front_door_blue_000855,PBB,front_door,blue,ABP,20738,1689,166.0
front_door_blue_000994,SCR,front_door,blue,ABP,42432,3602,386.0
front_door_gray_000929,GAP,front_door,gray,YW6,13605,1121,72.0
front_door_green_000993,ORG,front_door,green,,13782,1124,
front_door_green_000993,SCR,front_door,green,,42432,3602,
front_door_navy_000818,ORG,front_door,navy,,13782,1124,
front_door_navy_000818,DST,front_door,navy,,17150,1398,
front_door_navy_000843,DNT,front_door,navy,,25583,2095,
front_door_navy_000843,DNT,front_door,navy,,25583,2095,
front_door_navy_000895,ORG,front_door,navy,,13782,1124,
front_door_pearl_white_000883,DST,front_door,white,P2W,17150,1398,263.0
front_door_pearl_white_000927,PBB,front_door,white,P2W,20738,1689,302.0
front_door_pearl_white_000927,PDR,front_door,white,P2W,17111,1460,266.0
front_door_pearl_white_000927,PBB,front_door,white,P2W,20738,1689,302.0
front_door_pearl_white_000961,PBB,front_door,white,P2W,20738,1689,302.0
front_door_pearl_white_000961,SCR,front_door,white,P2W,42432,3602,622.0
front_door_red_000974,SCR,front_door,red,R4M,42432,3602,158.0
front_door_red_000974,GAP,front_door,red,R4M,13605,1121,56.0
front_door_silver_000845,SCR,front_door,silver,SWP,42432,3602,448.0
front_door_silver_000932,SCR,front_door,silver,SWP,42432,3602,448.0
front_door_silver_000981,ORG,front_door,silver,SWP,13782,1124,138.0
front_door_silver_000981,PBB,front_door,silver,SWP,20738,1689,233.0
hood_black_000864,PBB,hood,black,B3L,20738,1680,365.0
hood_black_000913,SCR,hood,black,B3L,42432,3481,718.0
hood_black_000913,SCR,hood,black,B3L,42432,3481,718.0
hood_black_000913,PDR,hood,black,B3L,17111,1422,291.0
hood_black_000985,DNT,hood,black,B3L,25583,2098,432.0
hood_black_000985,DST,hood,black,B3L,17150,1485,335.0
hood_bronze_000885,PDR,hood,bronze,,17111,1422,
hood_gray_000906,SCR,hood,gray,YW6,42432,3481,257.0
hood_gray_000906,GAP,hood,gray,YW6,13605,1130,94.0
hood_gray_000906,DNT,hood,gray,YW6,25583,2098,164.0
hood_gray_000978,SCR,hood,gray,YW6,42432,3481,257.0
hood_green_000915,DNT,hood,green,,25583,2098,
hood_green_000915,DST,hood,green,,17150,1485,
hood_navy_000849,DNT,hood,navy,,25583,2098,
hood_navy_000934,GAP,hood,navy,,13605,1130,
hood_pearl_white_000814,DNT,hood,white,P2W,25583,2098,372.0
hood_pearl_white_000814,DNT,hood,white,P2W,25583,2098,372.0
hood_pearl_white_000859,DNT,hood,white,P2W,25583,2098,372.0
hood_pearl_white_000859,SCR,hood,white,P2W,42432,3481,629.0
hood_pearl_white_000862,SCR,hood,white,P2W,42432,3481,629.0
hood_red_000817,SCR,hood,red,R4M,42432,3481,171.0
hood_red_000870,DNT,hood,red,R4M,25583,2098,115.0
hood_red_000973,SCR,hood,red,R4M,42432,3481,171.0
hood_red_000973,GAP,hood,red,R4M,13605,1130,84.0
hood_silver_000910,PDR,hood,silver,SWP,17111,1422,166.0
hood_silver_000917,GAP,hood,silver,SWP,13605,1130,124.0
hood_silver_000982,SCR,hood,silver,SWP,42432,3481,432.0
hood_white_000926,DST,hood,white,P2W,17150,1485,292.0
hood_white_001000,SCR,hood,white,P2W,42432,3481,629.0
hood_white_001000,PBB,hood,white,P2W,20738,1680,282.0
hood_white_001000,DST,hood,white,P2W,17150,1485,292.0
rear_door_black_000819,ORG,rear_door,black,B3L,13782,1107,210.0
rear_door_black_000979,SCR,rear_door,black,B3L,42432,3483,671.0
rear_door_blue_000894,SCR,rear_door,blue,ABP,42432,3483,347.0
rear_door_blue_000897,DNT,rear_door,blue,ABP,25583,2143,205.0
rear_door_blue_000992,SCR,rear_door,blue,ABP,42432,3483,347.0
rear_door_bronze_000874,PBB,rear_door,bronze,,20738,1749,
rear_door_bronze_000874,DNT,rear_door,bronze,,25583,2143,
rear_door_bronze_000893,DST,rear_door,bronze,,17150,1464,
rear_door_gray_000948,SCR,rear_door,gray,YW6,42432,3483,268.0
rear_door_green_000812,PDR,rear_door,green,,17111,1406,
rear_door_green_000905,ORG,rear_door,green,,13782,1107,
rear_door_green_000905,DST,rear_door,green,,17150,1464,
rear_door_navy_000861,ORG,rear_door,navy,,13782,1107,
rear_door_pearl_white_000823,PBB,rear_door,white,P2W,20738,1749,329.0
rear_door_pearl_white_000825,DST,rear_door,white,P2W,17150,1464,268.0
rear_door_pearl_white_000881,ORG,rear_door,white,P2W,13782,1107,210.0
rear_door_pearl_white_000881,PDR,rear_door,white,P2W,17111,1406,239.0
rear_door_pearl_white_000969,SCR,rear_door,white,P2W,42432,3483,666.0
rear_door_pearl_white_000969,ORG,rear_door,white,P2W,13782,1107,210.0
rear_door_red_000875,SCR,rear_door,red,R4M,42432,3483,156.0
rear_door_red_000886,CRK,rear_door,red,R4M,6841,595,26.0
rear_door_red_000891,SCR,rear_door,red,R4M,42432,3483,156.0
rear_door_silver_000928,DST,rear_door,silver,SWP,17150,1464,152.0
rear_door_silver_000928,PBB,rear_door,silver,SWP,20738,1749,189.0
rear_door_white_000909,PBB,rear_door,white,P2W,20738,1749,329.0
rear_door_white_000990,ORG,rear_door,white,P2W,13782,1107,210.0
rear_door_white_000990,PBB,rear_door,white,P2W,20738,1749,329.0
rocker_black_000839,GAP,rocker,black,B3L,13605,1141,224.0
rocker_blue_000826,DNT,rocker,blue,ABP,25583,2155,210.0
rocker_blue_000826,SCR,rocker,blue,ABP,42432,3554,375.0
rocker_blue_000826,DNT,rocker,blue,ABP,25583,2155,210.0
rocker_blue_000860,PBB,rocker,blue,ABP,20738,1747,176.0
rocker_blue_000873,DNT,rocker,blue,ABP,25583,2155,210.0
rocker_blue_000951,GAP,rocker,blue,ABP,13605,1141,109.0
rocker_bronze_000804,SCR,rocker,bronze,,42432,3554,
rocker_bronze_000806,SCR,rocker,bronze,,42432,3554,
rocker_bronze_000920,SCR,rocker,bronze,,42432,3554,
rocker_bronze_000937,DNT,rocker,bronze,,25583,2155,
rocker_bronze_000937,DNT,rocker,bronze,,25583,2155,
rocker_bronze_000952,GAP,rocker,bronze,,13605,1141,
rocker_bronze_000952,DNT,rocker,bronze,,25583,2155,
rocker_bronze_000959,DST,rocker,bronze,,17150,1405,
rocker_bronze_000966,SCR,rocker,bronze,,42432,3554,
rocker_bronze_000966,DST,rocker,bronze,,17150,1405,
rocker_bronze_000966,DNT,rocker,bronze,,25583,2155,
rocker_gray_000848,SCR,rocker,gray,YW6,42432,3554,299.0
rocker_gray_000925,CRK,rocker,gray,YW6,6841,564,37.0
rocker_green_000805,DNT,rocker,green,,25583,2155,
rocker_green_000813,SCR,rocker,green,,42432,3554,
rocker_green_000813,PDR,rocker,green,,17111,1417,
rocker_green_000858,ORG,rocker,green,,13782,1146,
rocker_green_000933,DST,rocker,green,,17150,1405,
rocker_navy_000976,PBB,rocker,navy,,20738,1747,
rocker_navy_000976,DNT,rocker,navy,,25583,2155,
rocker_pearl_white_000803,DST,rocker,white,P2W,17150,1405,271.0
rocker_red_000809,GAP,rocker,red,R4M,13605,1141,70.0
rocker_red_000815,DST,rocker,red,R4M,17150,1405,62.0
rocker_red_000914,DST,rocker,red,R4M,17150,1405,62.0
rocker_red_000962,DST,rocker,red,R4M,17150,1405,62.0
rocker_red_000962,SCR,rocker,red,R4M,42432,3554,181.0
rocker_red_000980,DST,rocker,red,R4M,17150,1405,62.0
rocker_white_000888,DNT,rocker,white,P2W,25583,2155,385.0
rocker_white_000888,DNT,rocker,white,P2W,25583,2155,385.0
rocker_white_000939,DST,rocker,white,P2W,17150,1405,271.0
roof_black_000947,GAP,roof,black,B3L,13605,1168,225.0
roof_black_000972,PBB,roof,black,B3L,20738,1719,356.0
roof_black_000972,SCR,roof,black,B3L,42432,3546,700.0
roof_black_000975,SCR,roof,black,B3L,42432,3546,700.0
roof_blue_000931,DST,roof,blue,ABP,17150,1400,137.0
roof_bronze_000942,ORG,roof,bronze,,13782,1222,
roof_bronze_000942,SCR,roof,bronze,,42432,3546,
roof_gray_000820,PBB,roof,gray,YW6,20738,1719,155.0
roof_gray_000833,ORG,roof,gray,YW6,13782,1222,96.0
roof_navy_000872,PDR,roof,navy,,17111,1446,
roof_pearl_white_000923,GAP,roof,white,P2W,13605,1168,202.0
roof_pearl_white_000996,DNT,roof,white,P2W,25583,2107,401.0
roof_red_000879,ORG,roof,red,R4M,13782,1222,58.0
roof_red_000965,DST,roof,red,R4M,17150,1400,73.0
roof_silver_000899,PBB,roof,silver,SWP,20738,1719,232.0
roof_silver_000904,SCR,roof,silver,SWP,42432,3546,445.0
roof_silver_000936,PBB,roof,silver,SWP,20738,1719,232.0
roof_silver_000936,SCR,roof,silver,SWP,42432,3546,445.0
roof_silver_000936,PBB,roof,silver,SWP,20738,1719,232.0
roof_silver_000960,SCR,roof,silver,SWP,42432,3546,445.0
roof_white_000887,DST,roof,white,P2W,17150,1400,257.0
trunk_black_000838,SCR,trunk,black,B3L,42432,3692,748.0
trunk_blue_000824,PBB,trunk,blue,ABP,20738,1746,179.0
trunk_blue_000930,SCR,trunk,blue,ABP,42432,3692,350.0
trunk_blue_000930,DNT,trunk,blue,ABP,25583,2088,202.0
trunk_blue_000944,DNT,trunk,blue,ABP,25583,2088,202.0
trunk_blue_000957,ORG,trunk,blue,ABP,13782,1181,138.0
trunk_blue_000957,PDR,trunk,blue,ABP,17111,1368,132.0
trunk_bronze_000884,DNT,trunk,bronze,,25583,2088,
trunk_bronze_000884,ORG,trunk,bronze,,13782,1181,
trunk_bronze_000998,DNT,trunk,bronze,,25583,2088,
trunk_bronze_000998,ORG,trunk,bronze,,13782,1181,
trunk_gray_000816,DST,trunk,gray,YW6,17150,1450,100.0
trunk_gray_000816,PBB,trunk,gray,YW6,20738,1746,135.0
trunk_gray_000868,GAP,trunk,gray,YW6,13605,1122,88.0
trunk_green_000988,SCR,trunk,green,,42432,3692,
trunk_green_000988,SCR,trunk,green,,42432,3692,
trunk_pearl_white_000841,DNT,trunk,white,P2W,25583,2088,362.0
trunk_pearl_white_000892,DNT,trunk,white,P2W,25583,2088,362.0
trunk_pearl_white_000943,SCR,trunk,white,P2W,42432,3692,689.0
trunk_pearl_white_000943,SCR,trunk,white,P2W,42432,3692,689.0
trunk_pearl_white_000943,ORG,trunk,white,P2W,13782,1181,197.0
trunk_pearl_white_000956,GAP,trunk,white,P2W,13605,1122,195.0
trunk_pearl_white_000956,PDR,trunk,white,P2W,17111,1368,259.0
trunk_red_000986,ORG,trunk,red,R4M,13782,1181,47.0
trunk_silver_000844,SCR,trunk,silver,SWP,42432,3692,451.0
trunk_silver_000844,DST,trunk,silver,SWP,17150,1450,176.0
trunk_silver_000863,PBB,trunk,silver,SWP,20738,1746,212.0
trunk_silver_000878,SCR,trunk,silver,SWP,42432,3692,451.0
trunk_silver_000878,CRK,trunk,silver,SWP,6841,531,63.0
trunk_silver_000908,ORG,trunk,silver,SWP,13782,1181,145.0
trunk_white_000865,GAP,trunk,white,P2W,13605,1122,195.0
trunk_white_000865,DNT,trunk,white,P2W,25583,2088,362.0
trunk_white_000924,SCR,trunk,white,P2W,42432,3692,689.0
