file,split,zone_raw,color_raw,defect_code,bbox_cx,bbox_cy,bbox_area,match_level,distance,defect_id,inspection_id,dd_defect_type,dd_zone,dd_color,dd_severity,dd_rework,dd_rework_min,dd_area_mm2,dd_x_mm,dd_y_mm,dd_confidence
bumper_black_000608,train,bumper,black,DNT,0.527344,0.597222,0.017226,exact_3,0.0528,DEF0000004985,INS0002911915,DNT,BUMPER_F,B3L,MAJOR,Y,45,498.24,1240.1,466.2,0.9642
bumper_black_000608,train,bumper,black,DNT,0.710938,0.805556,0.004171,exact_3,0.0416,DEF0000127014,INS0000378398,DNT,BUMPER_R,B3L,MAJOR,Y,45,36.19,1608.6,752.5,0.8736
bumper_black_000637,train,bumper,black,DNT,0.221875,0.145833,0.017226,exact_3,0.1175,DEF0000163891,INS0002013419,DNT,BUMPER_R,B3L,MAJOR,Y,45,444.99,617.1,57.1,0.8799
bumper_black_000637,train,bumper,black,ORG,0.875,0.675,0.017778,exact_3,0.0344,DEF0000102253,INS0001767757,ORG,BUMPER_F,B3L,MINOR,N,20,464.8,1901.9,637.5,0.909
bumper_black_000637,train,bumper,black,PBB,0.553125,0.313194,0.003906,exact_3,0.0169,DEF0000109621,INS0002440930,PBB,BUMPER_R,B3L,MINOR,N,30,158.91,1143.3,222.5,0.9727
bumper_blue_000073,train,bumper,blue,DNT,0.391406,0.522222,0.012192,exact_3,0.0347,DEF0000075176,INS0002061906,DNT,BUMPER_R,ABP,MAJOR,Y,45,353.89,792.4,418.0,0.9743
bumper_blue_000109,train,bumper,blue,SCR,0.777344,0.596528,0.010905,exact_3,0.0255,DEF0000120450,INS0001786079,SCR,BUMPER_F,ABP,MINOR,N,15,295.86,1637.0,512.2,0.92
bumper_blue_000109,train,bumper,blue,PDR,0.607031,0.302083,0.002441,exact_3,0.0991,DEF0000163197,INS0001662452,PDR,BUMPER_F,ABP,MINOR,N,25,201.65,1117.9,362.0,0.8769
bumper_blue_000119,train,bumper,blue,DST,0.757812,0.522917,0.002721,exact_3,0.0288,DEF0000093002,INS0000731409,DST,BUMPER_F,ABP,MINOR,Y,10,97.55,1526.4,487.7,0.9247
bumper_blue_000292,train,bumper,blue,ORG,0.098437,0.15,0.006267,exact_3,0.1068,DEF0000057984,INS0001817709,ORG,BUMPER_F,ABP,MINOR,Y,20,96.99,166.9,82.3,0.9818
bumper_blue_000292,train,bumper,blue,SCR,0.840625,0.49375,0.010614,exact_3,0.0777,DEF0000036446,INS0001202969,SCR,BUMPER_F,ABP,MINOR,N,15,312.43,1818.8,465.0,0.879
bumper_blue_000292,train,bumper,blue,SCR,0.359766,0.24375,0.002577,exact_3,0.0382,DEF0000162927,INS0001955184,SCR,BUMPER_F,ABP,MINOR,N,15,39.16,625.8,191.9,0.9201
bumper_blue_000321,train,bumper,blue,SCR,0.744531,0.94375,0.021094,exact_3,0.0228,DEF0000127075,INS0002865949,SCR,BUMPER_F,ABP,MINOR,N,15,427.71,1589.3,781.4,0.9689
bumper_blue_000334,train,bumper,blue,DNT,0.154688,0.488889,0.005317,exact_3,0.076,DEF0000130746,INS0000807764,DNT,BUMPER_F,ABP,MAJOR,Y,45,123.51,282.7,408.6,0.9211
bumper_blue_000334,train,bumper,blue,SCR,0.845313,0.165972,0.032474,exact_3,0.0956,DEF0000015917,INS0002054580,SCR,BUMPER_R,ABP,MINOR,N,15,479.3,1973.6,132.8,0.9489
bumper_blue_000554,train,bumper,blue,DST,0.504297,0.61875,0.002686,exact_3,0.1124,DEF0000152938,INS0001379416,DST,BUMPER_F,ABP,MINOR,Y,10,108.39,959.6,523.0,0.9653
bumper_blue_000599,train,bumper,blue,ORG,0.598437,0.565278,0.005317,exact_3,0.0911,DEF0000163226,INS0000240372,ORG,BUMPER_F,ABP,MINOR,N,20,8.12,1342.9,617.7,0.9051
bumper_blue_000642,train,bumper,blue,ORG,0.672656,0.4875,0.005942,exact_3,0.1114,DEF0000007554,INS0002666773,ORG,BUMPER_R,ABP,MINOR,N,20,50.86,1461.6,492.8,0.9526
bumper_blue_000642,train,bumper,blue,PBB,0.121484,0.856944,0.004898,exact_3,0.114,DEF0000148475,INS0002061550,PBB,BUMPER_F,ABP,MINOR,Y,30,265.05,398.6,765.6,0.8612
bumper_blue_000642,train,bumper,blue,PDR,0.085156,0.4125,0.002483,exact_3,0.0955,DEF0000085655,INS0001605518,PDR,BUMPER_F,ABP,MINOR,Y,25,227.52,110.5,513.9,0.9597
bumper_bronze_000111,train,bumper,bronze,DNT,0.65,0.172222,0.005625,exact_2,0.0375,DEF0000168811,INS0001438430,DNT,BUMPER_F,TW3,MAJOR,Y,45,112.2,1354.7,84.8,0.9146
bumper_bronze_000111,train,bumper,bronze,DNT,0.374219,0.676389,0.006944,exact_2,0.0579,DEF0000120815,INS0001617115,DNT,BUMPER_R,B3L,MAJOR,Y,45,168.42,727.4,562.3,0.93
bumper_bronze_000226,train,bumper,bronze,PDR,0.210938,0.525694,0.002849,exact_2,0.0275,DEF0000040292,INS0001183440,PDR,BUMPER_F,P2W,MINOR,N,25,267.47,417.2,771.7,0.9811
bumper_bronze_000226,train,bumper,bronze,PDR,0.651563,0.45625,0.004204,exact_2,0.03,DEF0000079869,INS0002964590,PDR,BUMPER_F,P2W,MINOR,N,25,455.48,1320.5,601.2,0.8678
bumper_bronze_000529,train,bumper,bronze,DNT,0.748437,0.4125,0.014601,exact_2,0.0374,DEF0000005164,INS0001157564,DNT,BUMPER_R,N5M,MAJOR,Y,45,416.24,1601.6,314.9,0.9793
bumper_bronze_000609,train,bumper,bronze,PDR,0.6125,0.418056,0.002431,exact_2,0.0374,DEF0000046671,INS0002323369,PDR,BUMPER_R,B3L,MINOR,N,25,169.02,1293.5,504.0,0.9602
bumper_bronze_000664,train,bumper,bronze,PDR,0.532813,0.549306,0.003032,exact_2,0.0304,DEF0000101044,INS0000174139,PDR,BUMPER_R,ABP,MINOR,N,25,273.8,1126.8,798.2,0.9062
bumper_bronze_000664,train,bumper,bronze,DST,0.864844,0.178472,0.003099,exact_2,0.0349,DEF0000096679,INS0000718862,DST,BUMPER_R,P2W,MINOR,N,10,180.79,1797.1,118.3,0.9707
bumper_gray_000028,train,bumper,gray,SCR,0.854688,0.915278,0.001632,exact_3,0.0795,DEF0000078062,INS0002382189,SCR,BUMPER_R,YW6,MINOR,N,15,44.11,1803.1,784.1,0.9376
bumper_gray_000116,train,bumper,gray,ORG,0.896875,0.505556,0.007296,exact_3,0.2143,DEF0000046157,INS0002493563,ORG,BUMPER_F,YW6,MINOR,Y,20,172.48,1846.3,561.6,0.9706
bumper_gray_000137,train,bumper,gray,SCR,0.820312,0.465972,0.010178,exact_3,0.0785,DEF0000158655,INS0001290301,SCR,BUMPER_F,YW6,MINOR,N,15,243.75,1752.8,442.7,0.9391
bumper_gray_000282,train,bumper,gray,GAP,0.507422,0.575,0.027057,exact_3,0.0748,DEF0000109763,INS0002694501,GAP,BUMPER_R,YW6,CRITICAL,Y,60,314.36,1007.6,593.5,0.9097
bumper_gray_000353,train,bumper,gray,DST,0.544922,0.63125,0.003393,exact_3,0.0638,DEF0000062784,INS0001767190,DST,BUMPER_R,YW6,MINOR,N,10,259.69,1284.2,534.9,0.8911
bumper_gray_000550,train,bumper,gray,PBB,0.711719,0.892361,0.002669,exact_3,0.1412,DEF0000104463,INS0001240156,PBB,BUMPER_R,YW6,MINOR,Y,30,110.96,1632.6,781.7,0.9687
bumper_gray_000688,train,bumper,gray,PDR,0.427344,0.204861,0.003527,exact_3,0.076,DEF0000030073,INS0001691666,PDR,BUMPER_F,YW6,MINOR,Y,25,367.8,757.6,140.1,0.8758
bumper_green_000332,train,bumper,green,DST,0.285156,0.445139,0.001947,exact_2,0.0362,DEF0000169879,INS0000080789,DST,BUMPER_F,YW6,MINOR,N,10,6.52,691.1,371.6,0.8684
bumper_green_000518,train,bumper,green,PDR,0.751563,0.35625,0.003093,exact_2,0.0413,DEF0000027949,INS0002283944,PDR,BUMPER_R,N5M,MINOR,N,25,280.07,1554.0,386.9,0.887
bumper_green_000622,train,bumper,green,ORG,0.5125,0.773611,0.009588,exact_2,0.0577,DEF0000013546,INS0000700890,ORG,BUMPER_F,YW6,MINOR,N,20,193.5,999.6,711.5,0.8643
bumper_navy_000053,train,bumper,navy,SCR,0.245703,0.217361,0.01006,exact_2,0.0251,DEF0000102331,INS0001830977,SCR,BUMPER_R,R4M,MINOR,Y,15,273.5,426.5,162.3,0.9002
bumper_navy_000053,train,bumper,navy,SCR,0.739062,0.628472,0.022315,exact_2,0.0296,DEF0000022253,INS0002938783,SCR,BUMPER_F,N5M,MINOR,N,15,456.22,1531.8,524.5,0.8811
bumper_navy_000209,train,bumper,navy,ORG,0.921875,0.356944,0.01,exact_2,0.0235,DEF0000075939,INS0002447719,ORG,BUMPER_R,ABP,MINOR,Y,20,221.36,1995.4,253.8,0.8572
bumper_navy_000209,train,bumper,navy,DNT,0.403125,0.847222,0.01,exact_2,0.0421,DEF0000062653,INS0002210376,DNT,BUMPER_R,YW6,MAJOR,Y,45,280.77,968.9,791.5,0.9807
bumper_navy_000297,train,bumper,navy,SCR,0.575,0.520139,0.003472,exact_2,0.0278,DEF0000073097,INS0001175760,SCR,BUMPER_R,P2W,MINOR,N,15,48.49,1168.5,461.9,0.8723
bumper_navy_000454,train,bumper,navy,ORG,0.14375,0.386111,0.012656,exact_2,0.0478,DEF0000002124,INS0000904009,ORG,BUMPER_R,N5M,MINOR,N,20,319.47,455.4,291.1,0.9329
bumper_navy_000776,train,bumper,navy,PBB,0.894141,0.345139,0.002486,exact_2,0.0502,DEF0000169595,INS0001309458,PBB,BUMPER_F,TW3,MINOR,N,30,31.2,1758.7,267.4,0.8548
bumper_navy_000799,train,bumper,navy,ORG,0.128125,0.319444,0.01615,exact_2,0.0546,DEF0000049113,INS0000929599,ORG,BUMPER_F,SSS,MINOR,Y,20,413.81,236.1,250.7,0.9266
bumper_navy_000799,train,bumper,navy,PDR,0.765625,0.152778,0.002153,exact_2,0.0298,DEF0000126493,INS0000952277,PDR,BUMPER_R,N5M,MINOR,N,25,156.34,1580.5,67.0,0.9217
bumper_pearl_white_000070,train,bumper,white,PBB,0.230469,0.5625,0.002821,exact_3,0.1085,DEF0000034512,INS0002571360,PBB,BUMPER_R,P2W,MINOR,N,30,98.64,601.9,434.1,0.9649
bumper_pearl_white_000070,train,bumper,white,DNT,0.28125,0.301389,0.007296,exact_3,0.0447,DEF0000077637,INS0002103567,DNT,BUMPER_R,P2W,MAJOR,Y,45,187.06,626.7,256.3,0.8564
bumper_pearl_white_000083,train,bumper,white,SCR,0.311328,0.923611,0.012389,exact_3,0.0268,DEF0000041672,INS0001808124,SCR,BUMPER_R,P2W,MINOR,N,15,327.0,531.0,790.2,0.955
bumper_pearl_white_000317,train,bumper,white,SCR,0.567187,0.069444,0.01875,exact_3,0.0333,DEF0000102595,INS0000264854,SCR,BUMPER_F,P2W,MINOR,N,15,397.51,1194.6,80.8,0.923
bumper_pearl_white_000328,train,bumper,white,CRK,0.620703,0.752083,0.040804,exact_3,0.1486,DEF0000043932,INS0001366748,CRK,BUMPER_F,P2W,CRITICAL,Y,90,436.79,1318.9,690.2,0.9816
bumper_pearl_white_000350,train,bumper,white,SCR,0.301172,0.6375,0.006775,exact_3,0.0623,DEF0000005283,INS0002454118,SCR,BUMPER_F,P2W,MINOR,Y,15,179.41,457.4,493.6,0.9085
bumper_pearl_white_000385,train,bumper,white,SCR,0.099609,0.664583,0.010372,exact_3,0.0627,DEF0000119373,INS0000179852,SCR,BUMPER_R,P2W,MINOR,Y,15,282.93,110.0,596.6,0.9001
bumper_pearl_white_000385,train,bumper,white,PBB,0.15625,0.384028,0.004238,exact_3,0.0489,DEF0000075145,INS0002627229,PBB,BUMPER_F,P2W,MINOR,N,30,212.75,402.0,286.9,0.9247
bumper_pearl_white_000385,train,bumper,white,CRK,0.371484,0.472917,0.026659,exact_3,0.1133,DEF0000079955,INS0001500825,CRK,BUMPER_R,P2W,CRITICAL,Y,90,400.56,678.4,311.6,0.8631
bumper_pearl_white_000396,train,bumper,white,DNT,0.639062,0.176389,0.008403,exact_3,0.0663,DEF0000011697,INS0000087935,DNT,BUMPER_R,P2W,MAJOR,Y,45,214.68,1477.7,63.4,0.9723
bumper_pearl_white_000396,train,bumper,white,PDR,0.666406,0.46875,0.004486,exact_3,0.0277,DEF0000013973,INS0002211886,PDR,BUMPER_F,P2W,MINOR,Y,25,477.99,1381.3,632.0,0.9124
bumper_pearl_white_000396,train,bumper,white,SCR,0.207422,0.117361,0.021182,exact_3,0.0637,DEF0000109865,INS0001660021,SCR,BUMPER_F,P2W,MINOR,Y,15,434.05,185.4,94.5,0.8683
bumper_pearl_white_000444,train,bumper,white,ORG,0.319531,0.744444,0.008789,exact_3,0.1068,DEF0000019265,INS0002124790,ORG,BUMPER_R,P2W,MINOR,N,20,123.39,712.3,704.5,0.8885
bumper_pearl_white_000618,train,bumper,white,SCR,0.235547,0.523611,0.002322,exact_3,0.0105,DEF0000096559,INS0001565034,SCR,BUMPER_R,P2W,MINOR,N,15,20.62,355.1,458.4,0.9061
bumper_pearl_white_000618,train,bumper,white,ORG,0.7625,0.561111,0.006267,exact_3,0.0983,DEF0000023195,INS0001381395,ORG,BUMPER_R,P2W,MINOR,Y,20,85.2,1446.1,564.8,0.9073
bumper_pearl_white_000618,train,bumper,white,DNT,0.224219,0.841667,0.012656,exact_3,0.1,DEF0000120330,INS0001722292,DNT,BUMPER_R,P2W,MAJOR,Y,45,339.61,261.0,768.7,0.86
bumper_pearl_white_000784,train,bumper,white,DNT,0.853906,0.6625,0.005317,exact_3,0.0667,DEF0000027432,INS0001714160,DNT,BUMPER_R,P2W,MAJOR,Y,45,89.23,1923.7,597.7,0.9817
bumper_pearl_white_000784,train,bumper,white,DNT,0.89375,0.222222,0.016684,exact_3,0.0444,DEF0000141974,INS0001220950,DNT,BUMPER_F,P2W,MAJOR,Y,45,442.05,1898.1,171.1,0.9743
bumper_red_000159,train,bumper,red,DNT,0.096875,0.233333,0.006944,exact_3,0.1087,DEF0000068142,INS0000104806,DNT,BUMPER_R,R4M,MAJOR,Y,45,136.56,282.1,224.9,0.9301
bumper_red_000159,train,bumper,red,PBB,0.860156,0.383333,0.005139,exact_3,0.0858,DEF0000146111,INS0000807827,PBB,BUMPER_F,R4M,MINOR,Y,30,342.04,1931.0,352.4,0.893
bumper_red_000208,train,bumper,red,DST,0.710938,0.73125,0.00332,exact_3,0.0869,DEF0000132282,INS0001815506,DST,BUMPER_R,R4M,MINOR,N,10,189.17,1548.0,682.1,0.873
bumper_red_000258,train,bumper,red,DST,0.435547,0.672222,0.003587,exact_3,0.1052,DEF0000114449,INS0002571892,DST,BUMPER_F,R4M,MINOR,N,10,352.36,968.8,667.4,0.9035
bumper_red_000362,train,bumper,red,SCR,0.635938,0.261111,0.004648,exact_3,0.0436,DEF0000101252,INS0000339067,SCR,BUMPER_R,R4M,MINOR,Y,15,125.57,1386.9,237.5,0.9884
bumper_red_000363,train,bumper,red,PBB,0.847656,0.544444,0.002391,exact_3,0.0846,DEF0000138995,INS0000176859,PBB,BUMPER_R,R4M,MINOR,N,30,29.86,1868.6,399.7,0.985
bumper_red_000363,train,bumper,red,PBB,0.747266,0.765278,0.004774,exact_3,0.0994,DEF0000052490,INS0001348028,PBB,BUMPER_R,R4M,MINOR,N,30,283.08,1815.0,677.2,0.8971
bumper_red_000382,train,bumper,red,PDR,0.677344,0.235417,0.002871,exact_3,0.0706,DEF0000064536,INS0002928233,PDR,BUMPER_R,R4M,MINOR,Y,25,288.13,1317.4,219.4,0.9661
bumper_red_000382,train,bumper,red,DNT,0.755469,0.498611,0.010851,exact_3,0.0678,DEF0000080349,INS0001031228,DNT,BUMPER_F,R4M,MAJOR,Y,45,292.9,1742.8,378.4,0.9769
bumper_red_000383,train,bumper,red,DNT,0.1,0.368056,0.004444,exact_3,0.0745,DEF0000156584,INS0001318258,DNT,BUMPER_R,R4M,MAJOR,Y,45,60.92,132.4,356.9,0.9249
bumper_red_000508,train,bumper,red,SCR,0.319141,0.569444,0.027817,exact_3,0.0544,DEF0000134165,INS0001974170,SCR,BUMPER_R,R4M,MINOR,Y,15,471.05,541.0,505.5,0.947
bumper_red_000508,train,bumper,red,PDR,0.788281,0.284722,0.002031,exact_3,0.0314,DEF0000067813,INS0000360502,PDR,BUMPER_F,R4M,MINOR,Y,25,133.62,1681.4,282.1,0.8844
bumper_red_000508,train,bumper,red,PBB,0.564844,0.261806,0.006066,exact_3,0.0631,DEF0000120063,INS0002972705,PBB,BUMPER_R,R4M,MINOR,Y,30,431.58,1144.6,193.0,0.8874
bumper_red_000511,train,bumper,red,SCR,0.145703,0.796528,0.009958,exact_3,0.1417,DEF0000047343,INS0001272412,SCR,BUMPER_R,R4M,MINOR,N,15,232.82,236.3,744.8,0.8893
bumper_red_000527,train,bumper,red,SCR,0.732422,0.391667,0.003003,exact_3,0.0525,DEF0000116699,INS0002816278,SCR,BUMPER_R,R4M,MINOR,N,15,40.89,1634.3,354.6,0.9388
bumper_red_000527,train,bumper,red,DNT,0.247656,0.563889,0.008789,exact_3,0.1179,DEF0000115585,INS0000811418,DNT,BUMPER_F,R4M,MAJOR,Y,45,280.07,454.9,415.9,0.8549
bumper_red_000743,train,bumper,red,SCR,0.86875,0.3375,0.020234,exact_3,0.0674,DEF0000054429,INS0000269779,SCR,BUMPER_R,R4M,MINOR,N,15,428.64,1906.0,349.4,0.9358
bumper_red_000743,train,bumper,red,GAP,0.517188,0.561806,0.029948,exact_3,0.0435,DEF0000132621,INS0000217099,GAP,BUMPER_R,R4M,CRITICAL,Y,60,398.5,1199.2,663.3,0.8678
bumper_silver_000039,train,bumper,silver,CRK,0.176172,0.745833,0.022363,exact_3,0.0969,DEF0000002532,INS0001106430,CRK,BUMPER_F,SWP,CRITICAL,Y,90,447.66,242.8,675.5,0.9325
bumper_silver_000136,train,bumper,silver,SCR,0.234375,0.769444,0.003819,exact_3,0.0441,DEF0000141767,INS0002893722,SCR,BUMPER_R,SWP,MINOR,Y,15,78.23,293.9,647.2,0.9195
bumper_silver_000281,train,bumper,silver,SCR,0.804688,0.86875,0.019173,exact_3,0.0524,DEF0000075928,INS0001757282,SCR,BUMPER_R,SWP,MINOR,N,15,396.46,1651.9,718.5,0.977
bumper_silver_000281,train,bumper,silver,DNT,0.817187,0.816667,0.010851,exact_3,0.0763,DEF0000105704,INS0001275036,DNT,BUMPER_F,SWP,MAJOR,Y,45,291.8,1709.2,711.0,0.9247
bumper_silver_000343,train,bumper,silver,DST,0.347656,0.266667,0.003398,exact_3,0.046,DEF0000023246,INS0001579683,DST,BUMPER_R,SWP,MINOR,Y,10,244.78,793.2,203.5,0.8726
bumper_silver_000343,train,bumper,silver,ORG,0.09375,0.15,0.014601,exact_3,0.1318,DEF0000018785,INS0000455317,ORG,BUMPER_R,SWP,MINOR,N,20,389.68,416.5,99.4,0.8904
bumper_silver_000446,train,bumper,silver,GAP,0.333594,0.507639,0.01352,exact_3,0.135,DEF0000068396,INS0000325310,GAP,BUMPER_F,SWP,CRITICAL,Y,60,28.64,480.4,510.8,0.9754
bumper_silver_000495,train,bumper,silver,SCR,0.847266,0.622917,0.012308,exact_3,0.037,DEF0000063919,INS0002975122,SCR,BUMPER_R,SWP,MINOR,Y,15,308.6,1841.4,548.0,0.9119
bumper_silver_000495,train,bumper,silver,PDR,0.789844,0.189583,0.001953,exact_3,0.1057,DEF0000092135,INS0001124896,PDR,BUMPER_R,SWP,MINOR,N,25,117.64,1749.1,148.9,0.906
bumper_silver_000523,train,bumper,silver,DNT,0.395313,0.427778,0.010421,exact_3,0.0709,DEF0000002162,INS0002388092,DNT,BUMPER_F,SWP,MAJOR,Y,45,274.83,742.5,359.5,0.9235
bumper_silver_000625,train,bumper,silver,PBB,0.583984,0.153472,0.004762,exact_3,0.0351,DEF0000097641,INS0001072824,PBB,BUMPER_R,SWP,MINOR,N,30,282.45,1325.2,89.9,0.9575
bumper_silver_000647,train,bumper,silver,PDR,0.317969,0.347222,0.00401,exact_3,0.0985,DEF0000076323,INS0002354266,PDR,BUMPER_R,SWP,MINOR,Y,25,464.42,532.3,441.4,0.9454
bumper_silver_000647,train,bumper,silver,GAP,0.500781,0.486806,0.017409,exact_3,0.0995,DEF0000030640,INS0002816469,GAP,BUMPER_R,SWP,CRITICAL,Y,60,278.72,751.1,397.7,0.9269
bumper_silver_000647,train,bumper,silver,PBB,0.936719,0.345833,0.006424,exact_3,0.0986,DEF0000082058,INS0000901515,PBB,BUMPER_F,SWP,MINOR,N,30,492.21,1831.4,270.7,0.9193
bumper_silver_000656,train,bumper,silver,PDR,0.758594,0.193056,0.003099,exact_3,0.0554,DEF0000036457,INS0002862802,PDR,BUMPER_F,SWP,MINOR,N,25,288.41,1616.6,68.3,0.9676
bumper_silver_000679,train,bumper,silver,DNT,0.284375,0.527778,0.006601,exact_3,0.0759,DEF0000064833,INS0002150411,DNT,BUMPER_F,SWP,MAJOR,Y,45,113.9,512.1,394.3,0.8865
bumper_silver_000679,train,bumper,silver,SCR,0.50625,0.545833,0.010278,exact_3,0.0755,DEF0000115934,INS0002757172,SCR,BUMPER_F,SWP,MINOR,Y,15,274.25,1013.5,411.9,0.9616
bumper_silver_000705,train,bumper,silver,DST,0.470313,0.630556,0.003047,exact_3,0.0708,DEF0000080677,INS0000526111,DST,BUMPER_R,SWP,MINOR,Y,10,192.52,1107.7,519.8,0.9067
bumper_white_000082,train,bumper,white,CRK,0.830469,0.440278,0.016615,exact_3,0.1424,DEF0000160351,INS0001793252,CRK,BUMPER_F,P2W,CRITICAL,Y,90,291.18,1523.4,330.5,0.8831
bumper_white_000147,train,bumper,white,DNT,0.844531,0.626389,0.012192,exact_3,0.0953,DEF0000137818,INS0001628941,DNT,BUMPER_F,P2W,MAJOR,Y,45,362.03,1693.4,462.3,0.9829
bumper_white_000300,train,bumper,white,DST,0.793359,0.346528,0.002473,exact_3,0.0999,DEF0000165045,INS0001282239,DST,BUMPER_R,P2W,MINOR,Y,10,46.92,1789.9,207.3,0.9802
bumper_white_000300,train,bumper,white,DNT,0.907031,0.709722,0.015625,exact_3,0.0294,DEF0000096632,INS0002973748,DNT,BUMPER_F,P2W,MAJOR,Y,45,437.71,1964.8,611.6,0.8703
bumper_white_000556,train,bumper,white,ORG,0.084375,0.515278,0.01,exact_3,0.0761,DEF0000038422,INS0001315445,ORG,BUMPER_R,P2W,MINOR,Y,20,219.12,216.7,545.6,0.8539
bumper_white_000556,train,bumper,white,SCR,0.339062,0.668056,0.004123,exact_3,0.0577,DEF0000124248,INS0002617130,SCR,BUMPER_R,P2W,MINOR,N,15,89.69,533.0,590.2,0.983
bumper_white_000567,train,bumper,white,SCR,0.586719,0.724306,0.00985,exact_3,0.0938,DEF0000128767,INS0001330843,SCR,BUMPER_F,P2W,MINOR,Y,15,295.8,1381.8,600.0,0.9457
bumper_white_000567,train,bumper,white,ORG,0.842187,0.184722,0.011736,exact_3,0.0539,DEF0000061746,INS0001842841,ORG,BUMPER_R,P2W,MINOR,N,20,277.04,1889.7,117.3,0.9762
bumper_white_000567,train,bumper,white,CRK,0.198437,0.789583,0.025892,exact_3,0.1572,DEF0000029744,INS0002129692,CRK,BUMPER_R,P2W,CRITICAL,Y,90,444.22,462.7,660.9,0.98
bumper_white_000586,train,bumper,white,SCR,0.332031,0.202778,0.012535,exact_3,0.0533,DEF0000031326,INS0000830351,SCR,BUMPER_F,P2W,MINOR,N,15,322.26,498.8,159.6,0.917
bumper_white_000589,train,bumper,white,CRK,0.358594,0.192361,0.013177,exact_3,0.0871,DEF0000043475,INS0000135402,CRK,BUMPER_R,P2W,CRITICAL,Y,90,145.19,497.5,140.7,0.8614
bumper_white_000634,train,bumper,white,SCR,0.656641,0.294444,0.008932,exact_3,0.0469,DEF0000138127,INS0000501933,SCR,BUMPER_F,P2W,MINOR,N,15,249.43,1348.4,247.7,0.8811
bumper_white_000674,train,bumper,white,DNT,0.789062,0.661111,0.007296,exact_3,0.0837,DEF0000005650,INS0000672010,DNT,BUMPER_R,P2W,MAJOR,Y,45,139.4,1623.7,589.3,0.8992
bumper_white_000756,train,bumper,white,DNT,0.110937,0.290278,0.004727,exact_3,0.0891,DEF0000052082,INS0000396472,DNT,BUMPER_F,P2W,MAJOR,Y,45,48.52,341.0,238.6,0.9606
fender_black_000090,train,fender,black,SCR,0.780078,0.717361,0.012903,exact_3,0.0397,DEF0000106339,INS0002058600,SCR,FF,B3L,MINOR,Y,15,332.0,1613.2,595.7,0.9193
fender_black_000090,train,fender,black,DST,0.814844,0.388194,0.003841,exact_3,0.0869,DEF0000012309,INS0001902987,DST,FF,B3L,MINOR,N,10,355.06,1755.8,333.2,0.9371
fender_black_000090,train,fender,black,ORG,0.40625,0.479167,0.007656,exact_3,0.0805,DEF0000032829,INS0001417164,ORG,FF,B3L,MINOR,N,20,119.49,1022.9,456.7,0.969
fender_black_000095,train,fender,black,SCR,0.399219,0.854861,0.005651,exact_3,0.015,DEF0000111565,INS0002531565,SCR,RF,B3L,MINOR,N,15,155.3,766.9,712.8,0.8956
fender_black_000095,train,fender,black,DST,0.190625,0.472222,0.002934,exact_3,0.0825,DEF0000095450,INS0000106240,DST,FF,B3L,MINOR,Y,10,141.07,314.6,391.4,0.9341
